trump china trade talk back track tariff hold	people are affected by the new information annoyed to get their money back smart gets a raise to be correct to be a politician satisfied to get their point across	0	0	0	0	1
sudan protester call civilian rule military kill num sit-in	people are killed angry to protest patriotic get arrested to protect the people to be in military good about themselves to get rid off	0	1	0	0	0
decathlon f1 rival hamilton bottas mutual respect gatland lead lion epl title prediction	none none none none none none none none none	1	0	0	0	0
oakland pothole vigilante batman robin road repair	people get hurt annoyed to get rid of him smart gets a flat to be the best to have a car happy to be successful	0	0	0	1	0
political scientist defends white identity politics	people are influenced by person x's views enlightened to listen to personx intelligent gets a job to be successful to be in politics proud to be a politician	1	0	0	0	0
julin castro easy ethic trouble presidential	loses respect for x angry to win smart gets arrested to win to be in the right position happy to win	0	1	0	0	0
saudi arabia executes num prisoner terrorism crime	people are killed angry to get away with it ruthless gets arrested to be a hero to have a lot of money powerful to get paid	0	0	0	1	0
hampshire republican corey lewandowski stay senate	gets into trouble angry to get rid of him racist get caught to be away from the law to have been asked to do it nervous to be a better person	0	1	0	0	0
country progressive pushing universal rent control ny	people are affected annoyed to get their money back dominant gets stressed to be in charge to have a budget happy to get a job	0	1	0	0	0
game throne favorite emotional tribute show wanted leave	none none none none none none none none none	0	0	1	0	0
mueller allegedly found child porn phone lobbyist set trump-russia back channel	none none none none none none none none none	0	1	0	0	0
attorney general bill barr possession mueller report send part congress weekend	none none none none none none none none none	0	1	0	0	0
weekend risky us-iran standoff explained	people are killed nervous to be safe risky gets shot to have fun to have a plan nervous to get out of it	1	0	0	0	0
carrie underwood immortalized cheese sculpture milwaukee stop cry pretty tour	gets a headache happy to stop crying artistic none to stop the drama to have seen a horror movie happy to stop crying	0	0	0	0	1
joe scarborough trump calling morning psycho -- watching	gets yelled at annoyed to tell personx they are not crazy respectful none to show his love to be in the wrong place happy listening	1	0	0	0	0
chinese interpol chief admits crime accepting num bribe	gets arrested angry to get rid of him greedy gets arrested to be a good citizen to have a reason satisfied to get a new job	1	0	0	0	0
immigration official secretive gang database deny migrant asylum claim	people get caught annoyed to find a way to find the truth criminal gets arrested to get rid of people to be a criminal guilty to get rid of people	0	0	1	0	0
donald trump pranked hilarious fashion	laugh happy to laugh silly gets laughed at to be funny to have a good time happy to laugh	0	1	0	0	0
viral video chimp scrolling instagram bad	people are watching the video interested to see the video curious gets yelled at to be entertained to have a video of a chimp interested to be entertained	1	0	0	0	0
barr distraction insist moral indictment trump	gets into trouble annoyed to get away with it untrustworthy gets into trouble to be in control to be a nuisance justified to get away with it	0	1	0	0	0
egypt election commission voter approved amendment allowing president el-sissi stay power num	none none none none none none none none none	0	0	1	0	0
taking selfie thai beach score death penalty	gets killed sad to get revenge mean gets arrested to be a good communicator to have a photo of you satisfied to make you look like a fool	1	0	0	0	0
real reason william barr committing crime trump	they are shocked angry to punish him criminal gets arrested to be a criminal to have a reason guilty to make a statement	0	1	0	0	0
white house report hail tax cut spurring economic growth warns socialism cost	people lose money angry to avoid tax breaks smart is sued to make money to have the information good to get a good deal	1	0	0	0	0
pakistan opposition party hold protest rally pm khan	people lose their homes angry to win the election aggressive gets yelled at to be a protest party leader to have the support of people good to protest	0	0	0	0	1
